[DateTime], [Close]
2012/1/31,-2624
2012/2/29,-1014
2012/3/31,-2081
2012/4/30,-728
2012/5/31,-1093
2012/6/30,-1014
2012/7/31,-1923
2012/8/31,-2227
2012/9/30,-2420
2012/10/31,-2406
2012/11/30,-3123
2012/12/31,-1639
2013/1/31,-2009
2013/2/28,-1138
2013/3/31,-624
2013/4/30,-475
2013/5/31,-664
2013/6/30,-468
2013/7/31,-1773
2013/8/31,-1340
2013/9/30,-861
2013/10/31,-910
2013/11/30,-679
2013/12/31,-176
2014/1/31,541
2014/2/28,1437
2014/3/31,810
2014/4/30,-387
2014/5/31,-2066
2014/6/30,-1671
2014/7/31,-1132
2014/8/31,-1059
2014/9/30,-2351
2014/10/31,-1038
2014/11/30,-1206
2014/12/31,-786
2015/1/31,-1316
2015/2/28,-1677
2015/3/31,-1731
2015/4/30,-4103
2015/5/31,-3248
2015/6/30,-3657
2015/7/31,-2482
2015/8/31,-2561
2015/9/30,-2431
2015/10/31,-3253
2015/11/30,-2801
2015/12/31,-3524
2016/1/31,-2937
