Date,Rate
2016/3/4,0.736044
2016/3/3,0.728705
2016/3/2,0.720157
2016/3/1,0.714496
2016/2/29,0.716315
2016/2/26,0.719941
2016/2/25,0.718898
2016/2/24,0.720144
2016/2/23,0.721274
2016/2/22,0.71614
2016/2/19,0.713413
2016/2/18,0.714405
2016/2/17,0.712938
2016/2/16,0.714139
2016/2/15,0.712698
2016/2/12,0.709648
2016/2/11,0.70846
2016/2/10,0.706885
2016/2/9,0.706328
2016/2/8,0.711425
2016/2/5,0.717286
2016/2/4,0.714868
2016/2/3,0.707022
2016/2/2,0.707437
2016/2/1,0.708096
2016/1/29,0.707961
2016/1/28,0.705107
2016/1/27,0.701052
2016/1/26,0.697817
2016/1/25,0.700073
2016/1/22,0.698339
2016/1/21,0.691145
2016/1/20,0.688619
2016/1/19,0.689509
2016/1/18,0.689469
2016/1/15,0.692976
2016/1/14,0.697161
2016/1/13,0.699965
2016/1/12,0.698306
2016/1/11,0.699471
2016/1/8,0.702241
2016/1/7,0.705541
2016/1/6,0.712998
2016/1/5,0.719182
2016/1/4,0.724396
2016/1/1,0.729577
2015/12/31,0.729516
2015/12/30,0.728334
2015/12/29,0.727007
2015/12/28,0.726536
2015/12/25,0.726374
2015/12/24,0.724828
2015/12/23,0.722751
2015/12/22,0.720323
2015/12/21,0.716146
2015/12/18,0.715615
2015/12/17,0.718329
2015/12/16,0.721318
2015/12/15,0.722335
2015/12/14,0.721894
2015/12/11,0.725273
2015/12/10,0.726105
2015/12/9,0.722106
2015/12/8,0.725953
2015/12/7,0.731552
2015/12/4,0.732597
2015/12/3,0.730287
2015/12/2,0.730287
2015/12/1,0.725213
2015/11/30,0.720719
2015/11/27,0.721744
2015/11/26,0.724183
2015/11/25,0.724073
2015/11/24,0.720441
2015/11/23,0.719954
2015/11/20,0.719416
2015/11/19,0.714109
2015/11/18,0.71021
2015/11/17,0.710516
2015/11/16,0.711572
2015/11/13,0.712593
2015/11/12,0.709509
2015/11/11,0.705083
2015/11/10,0.704579
2015/11/9,0.707354
2015/11/6,0.712635
2015/11/5,0.715795
2015/11/4,0.718108
2015/11/3,0.716382
2015/11/2,0.712715
2015/10/30,0.710251
2015/10/29,0.711048
2015/10/28,0.717473
2015/10/27,0.723855
2015/10/26,0.724383
2015/10/23,0.722883
2015/10/22,0.722355
2015/10/21,0.724991
2015/10/20,0.727488
2015/10/19,0.727488
2015/10/16,0.730087
2015/10/15,0.729746
2015/10/14,0.726962
2015/10/13,0.732179
2015/10/12,0.733064
2015/10/9,0.726263
2015/10/8,0.719902
2015/10/7,0.716449
2015/10/6,0.710178
2015/10/5,0.70605
2015/10/2,0.703736
2015/10/1,0.703372
2015/9/30,0.700036
2015/9/29,0.698917
2015/9/28,0.701171
2015/9/25,0.700568
2015/9/24,0.701064
2015/9/23,0.706418
2015/9/22,0.712865
2015/9/21,0.718138
2015/9/18,0.7202
2015/9/17,0.717208
2015/9/16,0.714758
2015/9/15,0.712136
2015/9/14,0.70961
2015/9/11,0.705739
2015/9/10,0.703637
2015/9/9,0.701435
2015/9/8,0.696065
2015/9/7,0.69441
2015/9/4,0.698664
2015/9/3,0.702065
2015/9/2,0.704255
2015/9/1,0.71001
2015/8/31,0.714256
2015/8/28,0.715547
2015/8/27,0.713352
2015/8/26,0.714579
2015/8/25,0.720355
2015/8/24,0.726785
2015/8/21,0.732982
2015/8/20,0.733712
2015/8/19,0.734497
2015/8/18,0.735974
2015/8/17,0.737389
2015/8/14,0.737168
2015/8/13,0.734521
2015/8/12,0.732471
2015/8/11,0.735541
2015/8/10,0.738592
2015/8/7,0.736158
2015/8/6,0.734817
2015/8/5,0.735966
2015/8/4,0.733131
2015/8/3,0.729183
2015/7/31,0.729559
2015/7/30,0.730307
2015/7/29,0.731505
2015/7/28,0.729914
2015/7/27,0.729261
2015/7/24,0.73302
2015/7/23,0.738706
2015/7/22,0.739394
2015/7/21,0.7381
2015/7/20,0.738146
2015/7/17,0.73943
2015/7/16,0.740647
2015/7/15,0.743354
2015/7/14,0.742853
2015/7/13,0.743557
2015/7/10,0.745186
2015/7/9,0.743728
2015/7/8,0.743557
2015/7/7,0.747256
2015/7/6,0.752436
2015/7/3,0.758699
2015/7/2,0.7652
2015/7/1,0.768984
2015/6/30,0.76753
2015/6/29,0.766939
2015/6/26,0.770717
2015/6/25,0.773032
2015/6/24,0.772417
2015/6/23,0.773727
2015/6/22,0.776618
2015/6/19,0.777404
2015/6/18,0.775462
2015/6/17,0.772679
2015/6/16,0.774688
2015/6/15,0.7737
2015/6/12,0.77359
2015/6/11,0.773734
2015/6/10,0.771168
2015/6/9,0.766785
2015/6/8,0.765102
2015/6/5,0.769083
2015/6/4,0.774859
2015/6/3,0.774807
2015/6/2,0.766944
2015/6/1,0.764298
2015/5/29,0.76629
2015/5/28,0.769678
2015/5/27,0.775219
2015/5/26,0.780303
2015/5/25,0.784499
2015/5/22,0.788089
2015/5/21,0.789303
2015/5/20,0.792537
2015/5/19,0.797827
2015/5/18,0.802112
2015/5/15,0.806578
2015/5/14,0.807731
2015/5/13,0.799989
2015/5/12,0.792917
2015/5/11,0.79056
2015/5/8,0.79238
2015/5/7,0.795771
2015/5/6,0.793921
2015/5/5,0.786787
2015/5/4,0.784741
2015/5/1,0.789869
2015/4/30,0.797103
2015/4/29,0.797955
2015/4/28,0.789097
2015/4/27,0.781787
2015/4/24,0.777805
2015/4/23,0.775413
2015/4/22,0.774345
2015/4/21,0.773753
2015/4/20,0.778213
2015/4/17,0.7778
2015/4/16,0.770228
2015/4/15,0.761178
2015/4/14,0.760323
2015/4/13,0.763263
2015/4/10,0.768996
2015/4/9,0.769274
2015/4/8,0.766662
2015/4/7,0.763779
2015/4/6,0.762424
2015/4/3,0.760051
2015/4/2,0.75946
2015/4/1,0.762015
2015/3/31,0.765083
2015/3/30,0.773141
2015/3/27,0.781025
2015/3/26,0.784798
2015/3/25,0.786981
2015/3/24,0.785291
2015/3/23,0.7776
2015/3/20,0.769949
2015/3/19,0.767563
2015/3/18,0.76381
2015/3/17,0.763859
2015/3/16,0.765266
2015/3/13,0.766099
2015/3/12,0.76364
2015/3/11,0.76251
2015/3/10,0.76756
2015/3/9,0.773628
2015/3/6,0.778621
2015/3/5,0.781042
2015/3/4,0.781711
2015/3/3,0.779713
2015/3/2,0.77913
2015/2/27,0.782619
2015/2/26,0.786269
2015/2/25,0.784253
2015/2/24,0.779672
2015/2/23,0.78169
2015/2/20,0.781161
2015/2/19,0.780138
2015/2/18,0.780423
2015/2/17,0.779119
2015/2/16,0.776844
2015/2/13,0.773221
2015/2/12,0.771466
2015/2/11,0.776674
2015/2/10,0.779324
2015/2/9,0.780217
2015/2/6,0.78071
2015/2/5,0.778838
2015/2/4,0.776587
2015/2/3,0.77513
2015/2/2,0.778469
2015/1/30,0.779343
2015/1/29,0.787994
2015/1/28,0.795736
2015/1/27,0.792431
2015/1/26,0.792923
2015/1/23,0.801441
2015/1/22,0.812062
2015/1/21,0.817851
2015/1/20,0.819749
2015/1/19,0.821708
2015/1/16,0.821326
2015/1/15,0.817778
2015/1/14,0.814558
2015/1/13,0.817258
2015/1/12,0.817544
2015/1/9,0.813079
2015/1/8,0.809009
2015/1/7,0.808579
2015/1/6,0.810465
2015/1/5,0.809673
2015/1/2,0.81439
2015/1/1,0.81705
2014/12/31,0.817515
2014/12/30,0.814952
2014/12/29,0.813037
2014/12/26,0.811643
2014/12/25,0.811039
2014/12/24,0.811276
2014/12/23,0.812704
2014/12/22,0.815269
2014/12/19,0.81601
2014/12/18,0.816533
2014/12/17,0.819864
2014/12/16,0.822857
2014/12/15,0.824402
2014/12/12,0.827702
2014/12/11,0.830278
2014/12/10,0.830041
2014/12/9,0.829014
2014/12/8,0.832055
2014/12/5,0.837162
2014/12/4,0.839868
2014/12/3,0.84399
2014/12/2,0.847672
2014/12/1,0.849074
2014/11/28,0.853355
2014/11/27,0.855063
2014/11/26,0.854228
2014/11/25,0.859831
2014/11/24,0.865339
2014/11/21,0.863731
2014/11/20,0.86268
2014/11/19,0.868072
2014/11/18,0.873018
2014/11/17,0.873204
2014/11/14,0.871316
2014/11/13,0.871622
2014/11/12,0.868118
2014/11/11,0.864502
2014/11/10,0.862952
2014/11/7,0.858943
2014/11/6,0.861998
2014/11/5,0.868673
2014/11/4,0.872096
2014/11/3,0.875602
2014/10/31,0.880434
2014/10/30,0.882064
2014/10/29,0.885247
2014/10/28,0.882262
2014/10/27,0.879495
2014/10/24,0.877415
2014/10/23,0.877505
2014/10/22,0.879052
2014/10/21,0.87909
2014/10/20,0.877139
2014/10/17,0.87561
2014/10/16,0.87561
2014/10/15,0.874443
2014/10/14,0.874417
2014/10/13,0.873576
2014/10/10,0.877738
2014/10/9,0.882096
2014/10/8,0.878788
2014/10/7,0.87601
2014/10/6,0.872571
2014/10/3,0.876009
2014/10/2,0.875532
2014/10/1,0.872122
2014/9/30,0.87316
2014/9/29,0.874494
2014/9/26,0.879355
2014/9/25,0.883893
2014/9/24,0.88723
2014/9/23,0.888606
2014/9/22,0.892035
