Date,Rate
2016/3/4,0.745859
2016/3/3,0.744684
2016/3/2,0.742812
2016/3/1,0.740094
2016/2/29,0.738836
2016/2/26,0.736298
2016/2/25,0.729311
2016/2/24,0.726167
2016/2/23,0.727925
2016/2/22,0.72718
2016/2/19,0.727738
2016/2/18,0.727934
2016/2/17,0.723757
2016/2/16,0.723718
2016/2/15,0.721667
2016/2/12,0.718391
2016/2/11,0.7179
2016/2/10,0.719526
2016/2/9,0.719323
2016/2/8,0.721763
2016/2/5,0.72686
2016/2/4,0.723676
2016/2/3,0.714874
2016/2/2,0.713521
2016/2/1,0.713521
2016/1/29,0.711711
2016/1/28,0.709815
2016/1/27,0.706992
2016/1/26,0.70399
2016/1/25,0.704564
2016/1/22,0.699412
2016/1/21,0.689881
2016/1/20,0.686585
2016/1/19,0.688894
2016/1/18,0.689623
2016/1/15,0.693746
2016/1/14,0.698355
2016/1/13,0.701897
2016/1/12,0.703759
2016/1/11,0.707039
2016/1/8,0.708976
2016/1/7,0.710121
2016/1/6,0.713742
2016/1/5,0.717897
2016/1/4,0.720521
2016/1/1,0.722147
2015/12/31,0.721075
2015/12/30,0.720972
2015/12/29,0.720839
2015/12/28,0.721504
2015/12/25,0.721962
2015/12/24,0.720859
2015/12/23,0.718446
2015/12/22,0.717163
2015/12/21,0.717283
2015/12/18,0.719442
2015/12/17,0.723973
2015/12/16,0.727691
2015/12/15,0.72879
2015/12/14,0.729481
2015/12/11,0.733736
2015/12/10,0.736886
2015/12/9,0.737331
2015/12/8,0.740632
2015/12/7,0.746047
2015/12/4,0.749019
2015/12/3,0.748935
2015/12/2,0.748531
2015/12/1,0.748805
2015/11/30,0.748962
2015/11/27,0.750971
2015/11/26,0.751923
2015/11/25,0.75096
2015/11/24,0.748804
2015/11/23,0.74897
2015/11/20,0.752157
2015/11/19,0.752183
2015/11/18,0.750476
2015/11/17,0.750476
2015/11/16,0.751026
2015/11/13,0.752411
2015/11/12,0.753614
2015/11/11,0.753821
2015/11/10,0.753229
2015/11/9,0.754459
2015/11/6,0.758111
2015/11/5,0.761405
2015/11/4,0.763848
2015/11/3,0.763799
2015/11/2,0.763065
2015/10/30,0.759977
2015/10/29,0.757101
2015/10/28,0.756589
2015/10/27,0.75858
2015/10/26,0.761196
2015/10/23,0.762665
2015/10/22,0.764274
2015/10/21,0.768066
2015/10/20,0.770194
2015/10/19,0.773613
2015/10/16,0.775594
2015/10/15,0.773071
2015/10/14,0.768831
2015/10/13,0.769319
2015/10/12,0.772032
2015/10/9,0.769639
2015/10/8,0.766918
2015/10/7,0.766597
2015/10/6,0.763851
2015/10/5,0.75999
2015/10/2,0.754969
2015/10/1,0.750673
2015/9/30,0.746001
2015/9/29,0.747091
2015/9/28,0.749686
2015/9/25,0.750088
2015/9/24,0.750821
2015/9/23,0.753155
2015/9/22,0.755187
2015/9/21,0.758124
2015/9/18,0.76031
2015/9/17,0.757923
2015/9/16,0.75576
2015/9/15,0.754551
2015/9/14,0.754837
