[DateTime], [Close]
2011/12/30,1098829
2012/1/31,1106605
2012/2/29,1107107
2012/3/30,1109819
2012/4/30,1115616
2012/5/31,1124090
2012/6/29,1134751
2012/7/31,1142737
2012/8/31,1145190
2012/9/30,1145719
2012/10/31,1149820
2012/11/30,1155533
2012/12/31,1159728
2013/1/31,1167024
2013/2/28,1177625
2013/3/29,1189838
2013/4/30,1191967
2013/5/31,1193503
2013/6/30,1198279
2013/7/31,1203096
2013/8/30,1213654
2013/9/30,1219627
2013/10/31,1225516
2013/11/29,1232662
2013/12/31,1239260
2014/1/31,1249309
2014/2/28,1248999
2014/3/31,1254340
2014/4/30,1253226
2014/5/30,1260751
2014/6/30,1261415
2014/7/31,1265600
2014/8/29,1275956
2014/9/30,1284909
2014/10/31,1293210
2014/11/30,1293253
2014/12/31,1297431
2015/1/31,1301350
2015/2/28,1309940
2015/3/31,1315244
2015/4/30,1320011
2015/5/31,1322826
2015/6/30,1324984
2015/7/31,1340904
2015/8/31,1350750
2015/9/30,1361019
2015/10/31,1364111
2015/11/30,1372359
2015/12/31,1375316
2016/1/31,1387897
