[DateTime], [Close]
2012/1/2,1994.5
2012/1/3,2054.5
2012/1/4,2041.25
2012/1/5,2014
2012/1/6,2046.75
2012/1/9,2085.75
2012/1/10,2137.5
2012/1/11,2135
2012/1/12,2133.75
2012/1/13,2113.75
2012/1/16,2127.5
2012/1/17,2191.25
2012/1/18,2168
2012/1/19,2196.75
2012/1/20,2182.75
2012/1/23,2203.25
2012/1/24,2204.25
2012/1/25,2217.75
2012/1/26,2244.75
2012/1/27,2233
2012/1/30,2245
2012/1/31,2201.5
2012/2/1,2228.5
2012/2/2,2158.75
2012/2/3,2209.25
2012/2/6,2182.25
2012/2/7,2215
2012/2/8,2214
2012/2/9,2251.5
2012/2/10,2206.25
2012/2/13,2169.5
2012/2/14,2173.75
2012/2/15,2156.75
2012/2/16,2118
2012/2/17,2121.5
2012/2/20,2135.25
2012/2/21,2211.75
2012/2/22,2237.75
2012/2/23,2231.75
2012/2/24,2287
2012/2/27,2289.25
2012/2/28,2283
2012/2/29,2285.5
2012/3/1,2312.25
2012/3/2,2285.75
2012/3/5,2243.75
2012/3/6,2192
2012/3/7,2165.25
2012/3/8,2162.25
2012/3/9,2197.5
2012/3/12,2185.25
2012/3/13,2215
2012/3/14,2185.25
2012/3/15,2208.75
2012/3/16,2219
2012/3/19,2234.5
2012/3/20,2204.25
2012/3/21,2168.75
2012/3/22,2128.5
2012/3/23,2135
2012/3/26,2145.25
2012/3/27,2155
2012/3/28,2127.25
2012/3/29,2094
2012/3/30,2087
2012/4/2,2089.5
2012/4/3,2083.75
2012/4/4,2053.35
2012/4/5,2072.25
2012/4/6,2072.25
2012/4/9,2072.25
2012/4/10,2027
2012/4/11,2060.75
2012/4/12,2065.25
2012/4/13,2030.5
2012/4/16,2025
2012/4/17,2036.75
2012/4/18,2018.75
2012/4/19,2034.5
2012/4/20,2042
2012/4/23,2017.75
2012/4/24,2040.5
2012/4/25,2029.25
2012/4/26,2046.5
2012/4/27,2069.5
2012/4/30,2078.75
2012/5/1,2082.25
2012/5/2,2056.25
2012/5/3,2050.75
2012/5/4,2028
2012/5/7,2028
2012/5/8,2016.25
2012/5/9,2008
2012/5/10,2004.75
2012/5/11,2004.5
2012/5/14,1983
2012/5/15,1983.25
2012/5/16,1993.5
2012/5/17,2014.25
2012/5/18,2028.25
2012/5/21,2005.25
2012/5/22,1989
2012/5/23,1969.25
2012/5/24,1977.25
2012/5/25,1976.25
2012/5/28,1984
2012/5/29,1978.25
2012/5/30,1967.75
2012/5/31,1955.5
2012/6/1,1934.5
2012/6/4,1934.5
2012/6/5,1934.5
2012/6/6,1939.25
2012/6/7,1955.5
2012/6/8,1948
2012/6/11,1934.5
2012/6/12,1929.75
2012/6/13,1925.75
2012/6/14,1916.25
2012/6/15,1895
2012/6/18,1890
2012/6/19,1886
2012/6/20,1865
2012/6/21,1830.75
2012/6/22,1824.75
2012/6/25,1826.5
2012/6/26,1806.5
2012/6/27,1832.75
2012/6/28,1808.25
2012/6/29,1875.75
2012/7/2,1873
2012/7/3,1947.75
2012/7/4,1921.5
2012/7/5,1909.75
2012/7/6,1863.25
2012/7/9,1891.75
2012/7/10,1878.5
2012/7/11,1867
2012/7/12,1849.5
2012/7/13,1877.5
2012/7/16,1885.75
2012/7/17,1876.75
2012/7/18,1882.5
2012/7/19,1925
2012/7/20,1872.75
2012/7/23,1851.75
2012/7/24,1838.25
2012/7/25,1839.5
2012/7/26,1846
2012/7/27,1862
2012/7/30,1864.5
2012/7/31,1853.25
2012/8/1,1827.25
2012/8/2,1804
2012/8/3,1825.5
2012/8/6,1843.75
2012/8/7,1873.5
2012/8/8,1877.75
2012/8/9,1861.5
2012/8/10,1841.25
2012/8/13,1816
2012/8/14,1815.5
2012/8/15,1796
2012/8/16,1804
2012/8/17,1821.25
2012/8/20,1800
2012/8/21,1832.5
2012/8/22,1844.75
2012/8/23,1877.25
2012/8/24,1890.45
2012/8/27,1890.45
2012/8/28,1890.75
2012/8/29,1870.25
2012/8/30,1856.25
2012/8/31,1883.75
2012/9/3,1908
2012/9/4,1926
2012/9/5,1962
2012/9/6,1966.5
2012/9/7,2010
2012/9/10,2049.5
2012/9/11,2073.15
2012/9/12,2082
2012/9/13,2101.25
2012/9/14,2200
2012/9/17,2167
2012/9/18,2161.75
2012/9/19,2126.5
2012/9/20,2098.25
2012/9/21,2107.5
2012/9/24,2057.5
2012/9/25,2078.5
2012/9/26,2042.75
2012/9/27,2079.5
2012/9/28,2084.75
2012/10/1,2097.5
2012/10/2,2078.75
2012/10/3,2074
2012/10/4,2087.5
2012/10/5,2085
2012/10/8,2052.75
2012/10/9,2025
2012/10/10,1980.25
2012/10/11,1992.25
2012/10/12,1968.5
2012/10/15,1935.25
2012/10/16,1929.75
2012/10/17,1959.75
2012/10/18,1991.5
2012/10/19,1946.25
2012/10/22,1933.75
2012/10/23,1923.25
2012/10/24,1912
2012/10/25,1911.25
2012/10/26,1895.75
2012/10/29,1869.25
2012/10/30,1882.25
2012/10/31,1877.5
2012/11/1,1917.5
2012/11/2,1899.5
2012/11/5,1878.75
2012/11/6,1892
2012/11/7,1897
2012/11/8,1902
2012/11/9,1901.5
2012/11/12,1951
2012/11/13,1967.25
2012/11/14,1948.75
2012/11/15,1943
2012/11/16,1930.25
2012/11/19,1955
2012/11/20,1946.5
2012/11/21,1910.75
2012/11/22,1925.75
2012/11/23,1969.5
2012/11/26,1986.5
2012/11/27,2000.5
2012/11/28,1992
2012/11/29,2065.25
2012/11/30,2094
2012/12/3,2118
2012/12/4,2092.5
2012/12/5,2106.25
2012/12/6,2089.75
2012/12/7,2086.75
2012/12/10,2123.5
2012/12/11,2110
2012/12/12,2141.25
2012/12/13,2132.75
2012/12/14,2138.25
2012/12/17,2149.75
2012/12/18,2079.75
2012/12/19,2048.25
2012/12/20,2026
2012/12/21,2048.25
2012/12/24,2039.75
2012/12/25,2039.75
2012/12/26,2039.75
2012/12/27,2046
2012/12/28,2030.75
2012/12/31,2041
2013/1/1,2041
2013/1/2,2127.25
2013/1/3,2082.5
2013/1/4,2027.25
2013/1/7,2029.25
2013/1/8,2031.25
2013/1/9,2040.5
2013/1/10,2080
2013/1/11,2063.1
2013/1/14,2015.25
2013/1/15,2014.75
2013/1/16,2007.25
2013/1/17,2012.75
2013/1/18,2006.5
2013/1/21,2004
2013/1/22,2038.5
2013/1/23,2039.25
2013/1/24,2041
2013/1/25,2011
2013/1/28,2013
2013/1/29,2022.25
2013/1/30,2066.5
2013/1/31,2054.25
2013/2/1,2087.75
2013/2/4,2073.75
2013/2/5,2073
2013/2/6,2058.65
2013/2/7,2060.5
2013/2/8,2080.25
2013/2/11,2063
